;"6"
"115609"",""creative"":""";"1"
"115621";"1"
"11577";"1"
"11586";"1"
"115887";"1"
"116128"",""creative"":""";"1"
"116202"",""creative"":""";"1"
"116214";"38"
"116214"",""creative"":""";"1"
"116233";"11"
"116233"",""creative"":""";"7"
"116239";"5"
"116239"",""creative"":""";"2"
"11633";"3"
"11633"",""creative"":""";"4"
"116338"",""creative"":""";"1"
"116386";"1039"
"116386"",""creative"":""";"699"
"116389";"7"
"116389"",""creative"":""";"1"
"116406";"3"
"116406"",""creative"":""";"4"
"11645";"1"
"116514"",""creative"":""";"1"
"11656";"5"
"11656"",""creative"":""";"1"
"116612";"7"
"116636"",""creative"":""";"1"
"116667";"5"
"116702"",""creative"":""";"1"
"116745";"6"
"116745"",""creative"":""";"2"
"116813";"1"
"116859";"1"
"11704";"3"
"117063";"1"
"117093";"1"
"117157"",""creative"":""";"2"
"117190";"2"
"117190"",""creative"":""";"1"
"117289"",""creative"":""";"1"
"117307";"1"
"117323";"12"
"117389"",""creative"":""";"1"
"117420";"1"
"117430";"2"
"117430"",""creative"":""";"2"
"117518";"1"
"117556";"3"
"11765";"2"
"11765"",""creative"":""";"4"
"117709";"2"
"117709"",""creative"":""";"1"
"11798";"1"
"117994";"79"
"118104";"7"
"118104"",""creative"":""";"3"
"118108";"1"
"118108"",""creative"":""";"1"
"118121";"1"
"118159";"1"
"118176";"1"
"118184";"1"
"11828";"24"
"11828"",""creative"":""";"9"
"11831";"1"
"11831"",""creative"":""";"1"
"11834";"182"
"11834"",""creative"":""";"31"
"11845";"17"
"11845"",""creative"":""";"9"
"11856";"1"
"118561";"1"
"118604"",""creative"":""";"1"
"11861";"7"
"11861"",""creative"":""";"4"
"118718"",""creative"":""";"1"
"118749";"1"
"118830";"1"
"118836";"1"
"118913";"1"
"118937";"4"
"118937"",""creative"":""";"5"
"118938"",""creative"":""";"3"
"118965";"1"
"119052"",""creative"":""";"1"
"119065";"1"
"119066";"1"
"119106"",""creative"":""";"1"
"119163"",""creative"":""";"1"
"119169";"1"
"119230";"1"
"119230"",""creative"":""";"3"
"119306";"20"
"119306"",""creative"":""";"24"
"11938";"2"
"11939";"28"
"119406";"1"
"119620";"2"
"119748"",""creative"":""";"1"
"119916";"3"
"119918";"1"
"119982"",""creative"":""";"2"
"119991"",""creative"":""";"1"
"11b1f33d04d7f0f11029cacbecb5be86";"1"
"120";"1"
"120001";"1"
"120054";"1"
"120054"",""creative"":""";"1"
"120149";"1"
"12017";"1"
"12017"",""creative"":""";"1"
"12021";"1"
"120234";"1"
"120247";"11"
"120247"",""creative"":""";"2"
"120531";"3"
"121159";"1"
"121318";"1"
"12180";"3"
"12180"",""creative"":""";"2"
"12196";"1"
"12204";"1"
"1226"",""ip"":""70.53.244.233"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57338"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""1792"",""gproduct_id"":""1878";"1"
"12302";"2"
"12304";"3"
"12349";"137"
"12349"",""creative"":""";"20"
"12355"",""creative"":""";"2"
"123640";"1"
"12393";"21"
"12393"",""creative"":""";"15"
"12467";"2"
"125"",""creative"":""";"1"
"12515";"5"
"12553";"3"
"12618";"11"
"12618"",""creative"":""";"2"
"12647";"6"
"12647"",""creative"":""";"3"
"12654";"2"
"12654"",""creative"":""";"1"
"12658";"80"
"12658"",""creative"":""";"19"
"12688"",""creative"":""";"1"
"127";"1"
"12723";"55"
"12723"",""creative"":""";"3"
"12728";"5"
"12728"",""creative"":""";"1"
"12832";"25"
"12832"",""creative"":""";"21"
"12faea348260b44acd5bd0bda005d0f5";"1"
"13050";"4"
"13050"",""creative"":""";"7"
"13077";"1"
"13077"",""creative"":""";"1"
"13104";"1"
"131621828";"10"
"131621828"",""creative"":""";"4"
"131621830";"1"
"131621831";"1"
"131621835";"2"
"131621836";"72"
"131621836"",""creative"":""";"50"
"131621898";"1"
"131621898"",""creative"":""";"1"
"131622008"",""creative"":""";"1"
"131622063";"5"
"131622063"",""creative"":""";"2"
"131622066";"15"
"131622066"",""creative"":""";"10"
"131622168";"1"
"131622171"",""creative"":""";"2"
"131622348";"1"
"131622424";"8"
"131622425";"1"
"131622426";"5"
"131622426"",""creative"":""";"1"
"131622577"",""creative"":""";"1"
"131622939";"7"
"131622939"",""creative"":""";"8"
"131623026";"1"
"131623046"",""creative"":""";"2"
"131623065";"2"
"131623075";"2223"
"131623075"",""creative"":""";"17"
"131623161";"1"
"131623206";"20"
"131623206"",""creative"":""";"5"
"131623314";"28"
"131623314"",""creative"":""";"36"
"131623336";"12"
"131623336"",""creative"":""";"6"
"131623395";"2"
"131623429"",""creative"":""";"1"
"131623437";"1"
"131623507";"1"
"131623529";"3"
"131623529"",""creative"":""";"1"
"131623642";"1"
"131623706";"57"
"131623706"",""creative"":""";"8"
"131623855";"1"
"131623861";"3"
"131623861"",""creative"":""";"1"
"131623862";"6"
"131623862"",""creative"":""";"1"
"131623871";"5"
"131623918";"5"
"131623918"",""creative"":""";"1"
"131624239";"1"
"131624383";"19"
"131624383"",""creative"":""";"3"
"131624384";"33"
"131624384"",""creative"":""";"9"
"131624420"",""creative"":""";"1"
"131624428";"1"
"131624435";"2"
"131624508";"1"
"131624510";"101"
"131624510"",""creative"":""";"17"
"131624550";"26"
"131624550"",""creative"":""";"5"
"131624552";"4"
"131624568";"3"
"131624568"",""creative"":""";"1"
"131624585";"1"
"131624712";"28"
"131624712"",""creative"":""";"2"
"131624713";"48"
"131624713"",""creative"":""";"3"
"131624733";"1"
"131624768";"3"
"131624853";"1"
"131624853"",""creative"":""";"1"
"131624885";"1"
"131624915";"1"
"131624935";"1"
"131624959";"1"
"131624959"",""creative"":""";"2"
"131624964";"59"
"131624964"",""creative"":""";"1"
"131625169";"5"
"131625169"",""creative"":""";"3"
"131625196";"3"
"131625196"",""creative"":""";"1"
"131625213";"5"
"131625213"",""creative"":""";"2"
"131625255";"9"
"131625505";"1"
"131625505"",""creative"":""";"1"
"131625538";"5"
"131625538"",""creative"":""";"1"
"131625589"",""creative"":""";"1"
"131625613";"2"
"131625613"",""creative"":""";"2"
"131625618";"1"
"131625664";"1"
"131625827";"5"
"131625828";"6"
"131625828"",""creative"":""";"1"
"131625829";"8"
"131625829"",""creative"":""";"4"
"131625831";"57"
"131625831"",""creative"":""";"13"
"131625844";"1"
"131625883";"1"
"131625936";"4"
"131625951";"25"
"131625951"",""creative"":""";"4"
"131625989";"2"
"131626149";"3"
"131626217";"35"
"131626217"",""creative"":""";"24"
"131626228"",""creative"":""";"1"
"131626233";"107"
"131626270";"1"
"131626346";"296"
"131626348";"5014"
"131626496";"14"
"131626496"",""creative"":""";"7"
"131626508";"1"
"131626508"",""creative"":""";"4"
"131626518"",""creative"":""";"1"
"131626677";"1"
"131626693";"3"
"131626765";"6"
"131626765"",""creative"":""";"1"
"131626779";"1"
"131626815";"28"
"131626815"",""creative"":""";"1"
"131626833";"1"
"131627010";"3"
"131627010"",""creative"":""";"1"
"131627087"",""creative"":""";"7"
"131627111";"1"
"131627213";"3"
"131627213"",""creative"":""";"1"
"131627268";"1"
"131627313";"1"
"1320"",""ip"":""172.250.192.208"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57284"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""2488"",""gproduct_id"":""2208";"1"
"13203";"101"
"13203"",""creative"":""";"26"
"13284";"1"
"13284"",""creative"":""";"1"
"1337"",""ip"":""191.82.148.193"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57332"",""phid"":""23202603215"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""2482"",""gproduct_id"":""2208";"1"
"1337"",""ip"":""39.70.63.130"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""58050"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""2488"",""gproduct_id"":""2208";"1"
"13406";"1"
"13406"",""creative"":""";"1"
"13442";"11"
"1370"",""ip"":""43.245.56.149"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57094"",""phid"":""0123456789abcdef"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""3502"",""gproduct_id"":""1845";"1"
"1373"",""ip"":""200.68.128.26"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57336"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""3500"",""gproduct_id"":""1845";"1"
"1374"",""ip"":""42.113.153.117"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""45306"",""phid"":""72076ec5"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""1794"",""gproduct_id"":""2258";"1"
"13760";"4"
"13760"",""creative"":""";"3"
"13850";"133"
"1392"",""ip"":""182.46.4.63"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""58094"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""1792"",""gproduct_id"":""1878";"1"
"13939"",""creative"":""";"1"
"13983";"1"
"14014";"2"
"14023";"3"
"14024";"1"
"14032";"3"
"14121";"59"
"14121"",""creative"":""";"27"
"14194";"2"
"14199";"34"
"14199"",""creative"":""";"19"
"14328";"1"
"14340";"92"
"14340"",""creative"":""";"32"
"14442";"1010"
"14442"",""creative"":""";"15"
"14448";"30"
"14458"",""creative"":""";"4"
"14550";"25"
"14550"",""creative"":""";"17"
"14569";"10"
"14569"",""creative"":""";"11"
"14592";"1"
"14654";"9"
"14654"",""creative"":""";"3"
"14699";"1"
"14785";"1"
"14785"",""creative"":""";"1"
"14820";"1"
"14880";"1"
"14901";"15"
"14901"",""creative"":""";"3"
"14917";"11"
"14917"",""creative"":""";"2"
"14962";"1"
"14990";"1"
"14990"",""creative"":""";"1"
"14993";"1"
"14993"",""creative"":""";"1"
"14996";"5"
"14996"",""creative"":""";"3"
"1507"",""ip"":""151.40.181.203"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57112"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""1122"",""gproduct_id"":""1534";"1"
"15103";"1"
"15103"",""creative"":""";"2"
"1512"",""ip"":""78.31.89.5"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57346"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""1624"",""gproduct_id"":""1867";"1"
"15120";"13"
"15120"",""creative"":""";"8"
"15163";"31"
"15163"",""creative"":""";"22"
"15189";"7"
"15189"",""creative"":""";"2"
"15268";"3"
"15268"",""creative"":""";"2"
"1534"",""ip"":""118.137.89.111"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57108"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""1106"",""gproduct_id"":""1897";"1"
"1534"",""ip"":""70.177.139.174"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57108"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""1138"",""gproduct_id"":""1765";"1"
"15351";"29"
"15351"",""creative"":""";"3"
"15352";"28"
"15352"",""creative"":""";"7"
"15358";"3"
"15376";"129"
"15539";"1"
"15539"",""creative"":""";"2"
"15553";"8"
"15619";"8"
"15619"",""creative"":""";"4"
"15622";"3"
"15622"",""creative"":""";"1"
"15629";"3"
"15629"",""creative"":""";"1"
"15658"",""creative"":""";"1"
"1574"",""ip"":""103.44.205.40"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""58006"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""1624"",""gproduct_id"":""1867";"1"
"1574"",""ip"":""130.193.197.156"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57276"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""2544"",""gproduct_id"":""1694";"1"
"1574"",""ip"":""189.169.239.228"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57276"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""1624"",""gproduct_id"":""1867";"1"
"1574"",""ip"":""62.167.104.32"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57276"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""2488"",""gproduct_id"":""2208";"1"
"15933";"13"
"15933"",""creative"":""";"1"
"15934";"648"
"15935";"4"
"15936";"93"
"15937";"1"
"15938";"1178"
"15938"",""creative"":""";"160"
"15939";"1"
"15940";"22"
"15942";"5"
"15946";"1321"
"15946"",""creative"":""";"88"
"15948";"84"
"15948"",""creative"":""";"1"
"15950";"83"
"15953";"101"
"15953"",""creative"":""";"9"
"15960"",""creative"":""";"2"
"15983";"1"
"15994";"2"
"15994"",""creative"":""";"1"
"16017";"4"
"16076";"7"
"16100";"8"
"16128";"8"
"16128"",""creative"":""";"1"
"16200";"1"
"16200"",""creative"":""";"2"
"16201";"8"
"1622"",""ip"":""113.23.99.106"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57298"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""2488"",""gproduct_id"":""2208";"1"
"1622"",""ip"":""183.209.250.31"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""58106"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""2488"",""gproduct_id"":""2208";"1"
"1622"",""ip"":""188.70.54.237"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57298"",""phid"":""4df1dfde301d8ff9"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""1794"",""gproduct_id"":""2258";"1"
"16351";"83"
"16351"",""creative"":""";"40"
"16405";"7"
"16405"",""creative"":""";"1"
"1642"",""ip"":""105.106.4.93"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57288"",""phid"":""59e9d3d368d97199"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""1396"",""gproduct_id"":""1924";"1"
"1642"",""ip"":""186.213.105.129"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57288"",""phid"":""0432065765"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""1396"",""gproduct_id"":""1924";"1"
"16465";"8"
"16465"",""creative"":""";"1"
"16538";"5"
"1654"",""ip"":""119.30.38.244"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57304"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""1394"",""gproduct_id"":""1730";"1"
"166ea81afb1f301aac3f702293003905a5cf67ea";"1"
"16966";"53"
"16966"",""creative"":""";"13"
"17028";"10"
"17028"",""creative"":""";"1"
"17085";"1240"
"17217";"22"
"17217"",""creative"":""";"2"
"1725"",""ip"":""180.249.18.220"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""43560"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""1106"",""gproduct_id"":""1897";"1"
"17259";"23"
"17259"",""creative"":""";"8"
"1730"",""ip"":""195.240.234.241"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57328"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""1624"",""gproduct_id"":""1867";"1"
"1730"",""ip"":""24.46.189.27"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57328"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""1792"",""gproduct_id"":""1878";"1"
"1730"",""ip"":""37.239.129.78"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57328"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""1624"",""gproduct_id"":""1867";"1"
"1730"",""ip"":""46.19.85.199"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57328"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""1624"",""gproduct_id"":""1867";"1"
"1730"",""ip"":""61.242.114.130"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""58068"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""2544"",""gproduct_id"":""1694";"1"
"17329";"1"
"17355";"1"
"17362";"5"
"17362"",""creative"":""";"2"
"17629";"60"
"17629"",""creative"":""";"26"
"17634";"1"
"17671";"5"
"17756"",""creative"":""";"1"
"1780"",""ip"":""105.102.200.139"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57276"",""phid"":""05157df5e2f2a71c"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""2482"",""gproduct_id"":""2208";"1"
"1780"",""ip"":""181.226.120.52"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57276"",""phid"":""0123456789abcdef"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""2482"",""gproduct_id"":""2208";"1"
"1780"",""ip"":""85.98.4.17"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57276"",""phid"":""clvd68d0d96"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""2482"",""gproduct_id"":""2208";"1"
"1781"",""ip"":""171.5.77.165"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57276"",""phid"":""62b19060e7948e64e723c3a47c895f7d"",""waid"":"""",""gos"":""windows_phone8"",""gcampaign_id"":""3796"",""gproduct_id"":""1875";"1"
"1781"",""ip"":""177.42.189.146"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57276"",""phid"":""398ef0a972eeeef289ec81f607773a05"",""waid"":"""",""gos"":""windows_phone8"",""gcampaign_id"":""2548"",""gproduct_id"":""1848";"1"
"1781"",""ip"":""190.24.132.102"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57276"",""phid"":""4baa1c30d5e1b4305d76626581facac3"",""waid"":"""",""gos"":""windows8"",""gcampaign_id"":""3030"",""gproduct_id"":""2372";"1"
"1781"",""ip"":""92.56.141.111"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57276"",""phid"":""4f92e749b750bc0dc4efe68bbf9ed6a0"",""waid"":""ef99826a41dc801a812c78802ea852b2"",""gos"":""windows8"",""gcampaign_id"":""2550"",""gproduct_id"":""1848";"1"
"17873";"2"
"17914";"88"
"17939";"1"
"18170";"10"
"18193";"6"
"18193"",""creative"":""";"2"
"18213";"1"
"18213"",""creative"":""";"1"
"1825"",""ip"":""190.236.24.196"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57304"",""phid"":""yt9118ec2h"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""1396"",""gproduct_id"":""1924";"1"
"18372";"2"
"18391";"80"
"18407";"1"
"1845"",""ip"":""1.64.134.210"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""72304"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""1122"",""gproduct_id"":""1534";"1"
"1845"",""ip"":""172.112.44.181"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""72304"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""1106"",""gproduct_id"":""1897";"1"
"1845"",""ip"":""92.152.4.222"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""72304"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""1122"",""gproduct_id"":""1534";"1"
"1845"",""ip"":""92.17.22.67"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""72304"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""1106"",""gproduct_id"":""1897";"1"
"18462";"1"
"18462"",""creative"":""";"1"
"18507";"3"
"18549";"5"
"18549"",""creative"":""";"1"
"18598";"36"
"18598"",""creative"":""";"24"
"18618";"2"
"18669";"1"
"18670";"2"
"18670"",""creative"":""";"1"
"18671";"5"
"18671"",""creative"":""";"2"
"18677";"3"
"18677"",""creative"":""";"8"
"18695";"1"
"18778";"1"
"18778"",""creative"":""";"1"
"18937";"2"
"18937"",""creative"":""";"2"
"18964";"1"
"1897"",""ip"":""37.1.34.161"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57084"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""1122"",""gproduct_id"":""1534";"1"
"1897"",""ip"":""37.116.8.124"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57084"",""phid"":""02:00:00:00:00:00"",""waid"":"""",""gos"":""ios"",""gcampaign_id"":""3500"",""gproduct_id"":""1845";"1"
"18c609fbb0f854ea9b5f0ed0f4f4d7d78fdcc13d"",""creative_name"":""dragon mania legends ios n15_025_dml_cgi_ua_2_30s_onv02";"1"
"19015";"3"
"19092";"7"
"19092"",""creative"":""";"8"
"19186";"1"
"19216";"1"
"1924"",""ip"":""151.68.189.120"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57328"",""phid"":""26edb297"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""1626"",""gproduct_id"":""1867";"1"
"1924"",""ip"":""172.58.144.100"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57328"",""phid"":""95b219f1"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""1626"",""gproduct_id"":""1867";"1"
"1924"",""ip"":""177.226.235.100"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57328"",""phid"":""zx1d929cr7"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""1626"",""gproduct_id"":""1867";"1"
"1924"",""ip"":""181.112.83.9"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57328"",""phid"":""clv278466dd"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""1626"",""gproduct_id"":""1867";"1"
"1924"",""ip"":""186.81.232.18"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57328"",""phid"":""93aff0f608357e1b"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""1626"",""gproduct_id"":""1867";"1"
"1924"",""ip"":""189.212.6.250"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57328"",""phid"":""ce5592f4"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""1626"",""gproduct_id"":""1867";"1"
"1924"",""ip"":""197.18.17.129"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57328"",""phid"":""fuh0216607008455"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""1104"",""gproduct_id"":""2148";"1"
"1924"",""ip"":""37.237.152.86"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57328"",""phid"":""04157df4a292300b"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""1626"",""gproduct_id"":""1867";"1"
"1924"",""ip"":""93.35.97.93"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57328"",""phid"":""9886734c5142554f43"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""1104"",""gproduct_id"":""2148";"1"
"1924"",""ip"":""96.43.191.122"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57328"",""phid"":""015d1884245c0013"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""1104"",""gproduct_id"":""2148";"1"
"19307";"3"
"19307"",""creative"":""";"1"
"1936"",""ip"":""178.169.225.223"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""43560"",""phid"":""53c6185d"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""1108"",""gproduct_id"":""2116";"1"
"19537";"125"
"19537"",""creative"":""";"33"
"19629";"2"
"19689";"1"
"1969"",""ip"":""178.73.135.209"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""43560"",""phid"":""8a2b9a622e385bd31c011f43e653267b"",""waid"":"""",""gos"":""windows8"",""gcampaign_id"":""2410"",""gproduct_id"":""2018";"1"
"19691";"2"
"19691"",""creative"":""";"1"
"19790";"1"
"19907";"6"
"19929a87a193cc3e44748bd9428cadf9";"1"
"19935";"15"
"19935"",""creative"":""";"4"
"19967";"2"
"19967"",""creative"":""";"1"
"19987";"6"
"19987"",""creative"":""";"2"
"1a075718962ab2812ab41f3ba0dba1ff28f4ea48"",""creative_name"":""disney magic kingdoms android v2 kr_30s";"1"
"1a075718962ab2812ab41f3ba0dba1ff28f4ea48"",""creative_name"":""disney magic kingdoms android_xpromo_loc_30s_onv01_en_pr";"1"
"1b49713dc0f4ab762dcbef5ee1e5f79227fd8ad1"",""creative"":"""",""creative_name"":""";"1"
"1b49713dc0f4ab762dcbef5ee1e5f79227fd8ad1"",""creative_name"":""n16_059_dmk_xpromo_loc_15s_onv01_en_pr_compressed.mov";"1"
"1c0e710e9b72d9a3b6b69decda8725daa2d010db"",""creative_name"":""dungeon_hunter_5_n15_019_dh5_upd5_cgi_tr_ksa_uae_onv02_cta_adcolony_ios";"1"
"1c16d116c8266c9dcc479a01bfbab4ae8ef2c2bd";"1"
"1e97aa01cfc7bbb272489a37cc6fe011b38e568d"",""creative_name"":""vidmkt_115_dml_tvspot_us_23.976fps_onv02_hq ios";"1"
"1eae815004d48abacdd0ea30c0e5f3508d72debb"",""creative_name"":""dungeon_hunter_5_n15_019_dh5_upd5_cgi_tr_ksa_uae_onv02_cta_adcolony_ios";"1"
"1ff14af107e5c41d9e57dc20c344ed0d3a47eac0"",""creative_name"":""dragon_mania_legends_30sec_ua_en_30fps_onv01";"1"
"20083";"94"
"20083"",""creative"":""";"15"
"2009"",""ip"":""153.181.85.47"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""43352"",""phid"":""356577056411785"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""1108"",""gproduct_id"":""2116";"1"
"2009"",""ip"":""189.128.251.189"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57104"",""phid"":""ta39701gqt"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""3502"",""gproduct_id"":""1845";"1"
"2009"",""ip"":""5.42.205.64"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57104"",""phid"":""300496b171fc4200"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""3502"",""gproduct_id"":""1845";"1"
"2009"",""ip"":""93.136.63.191"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57104"",""phid"":""33004eb355f8a201"",""waid"":"""",""gos"":""android"",""gcampaign_id"":""3502"",""gproduct_id"":""1845";"1"
"200f3cf3decfdd5cb81fa2fbf09a622335c010ec";"1"
"20144";"88"
"2018"",""ip"":""112.197.32.62"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57084"",""phid"":""e7dd07d919601eaae186063878896ab4"",""waid"":"""",""gos"":""windows_phone8"",""gcampaign_id"":""3762"",""gproduct_id"":""2566";"1"
"2018"",""ip"":""179.40.238.110"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57084"",""phid"":""439a3696dda1a93de9e485529a9946e8"",""waid"":"""",""gos"":""windows8"",""gcampaign_id"":""3760"",""gproduct_id"":""2566";"1"
"2018"",""ip"":""27.74.231.219"",""gift_type"":"""",""gift_amount"":"""",""external_campaign_id"":""57084"",""phid"":""a420c4ee6882e2cea386b47b0690f27a"",""waid"":"""",""gos"":""windows_phone8"",""gcampaign_id"":""3762"",""gproduct_id"":""2566";"1"
